id,name,kabupaten_id/id
kecamatan_id_1,Arongan Lambalek,kabupaten_id_1
kecamatan_id_2,Bubon,kabupaten_id_1
kecamatan_id_3,Johan Pahlawan,kabupaten_id_1
kecamatan_id_4,Kaway XVI,kabupaten_id_1
kecamatan_id_5,Meureubo,kabupaten_id_1
kecamatan_id_6,Pante Ceureumen (Pantai Ceuremen),kabupaten_id_1
kecamatan_id_7,Panton Reu,kabupaten_id_1
kecamatan_id_8,Samatiga,kabupaten_id_1
kecamatan_id_9,Sungai Mas,kabupaten_id_1
kecamatan_id_10,Woyla,kabupaten_id_1
kecamatan_id_11,Woyla Barat,kabupaten_id_1
kecamatan_id_12,Woyla Timur,kabupaten_id_1
kecamatan_id_13,Babah Rot,kabupaten_id_2
kecamatan_id_14,Blang Pidie,kabupaten_id_2
kecamatan_id_15,Jeumpa,kabupaten_id_2
kecamatan_id_16,Kuala Batee,kabupaten_id_2
kecamatan_id_17,Lembah Sabil,kabupaten_id_2
kecamatan_id_18,Manggeng,kabupaten_id_2
kecamatan_id_19,Setia,kabupaten_id_2
kecamatan_id_20,Susoh,kabupaten_id_2
kecamatan_id_21,Tangan-Tangan,kabupaten_id_2
kecamatan_id_22,Baitussalam,kabupaten_id_3
kecamatan_id_23,Blank Bintang,kabupaten_id_3
kecamatan_id_24,Darul Imarah,kabupaten_id_3
kecamatan_id_25,Darul Kamal,kabupaten_id_3
kecamatan_id_26,Darussalam,kabupaten_id_3
kecamatan_id_27,Indrapuri,kabupaten_id_3
kecamatan_id_28,Ingin Jaya,kabupaten_id_3
kecamatan_id_29,Kota Cot Glie (Kuta Cot Glie),kabupaten_id_3
kecamatan_id_30,Kota Jantho,kabupaten_id_3
kecamatan_id_31,Kota Malaka (Kuta Malaka),kabupaten_id_3
kecamatan_id_32,Krueng Barona Jaya,kabupaten_id_3
kecamatan_id_33,Kuta Baro,kabupaten_id_3
kecamatan_id_34,Lembah Seulawah,kabupaten_id_3
kecamatan_id_35,Leupung,kabupaten_id_3
kecamatan_id_36,Lhoknga (Lho'nga),kabupaten_id_3
kecamatan_id_37,Lhoong,kabupaten_id_3
kecamatan_id_38,Mantasiek (Montasik),kabupaten_id_3
kecamatan_id_39,Mesjid Raya,kabupaten_id_3
kecamatan_id_40,Peukan Bada,kabupaten_id_3
kecamatan_id_41,Pulo Aceh,kabupaten_id_3
kecamatan_id_42,Seulimeum,kabupaten_id_3
kecamatan_id_43,Simpang Tiga,kabupaten_id_3
kecamatan_id_44,Suka Makmur,kabupaten_id_3
kecamatan_id_45,Darul Hikmah,kabupaten_id_4
kecamatan_id_46,Indra Jaya,kabupaten_id_4
kecamatan_id_47,Jaya,kabupaten_id_4
kecamatan_id_48,Keude Panga,kabupaten_id_4
kecamatan_id_49,Krueng Sabee,kabupaten_id_4
kecamatan_id_50,Pasie Raya,kabupaten_id_4
kecamatan_id_51,Sampoiniet,kabupaten_id_4
kecamatan_id_52,Setia Bakti,kabupaten_id_4
kecamatan_id_53,Teunom,kabupaten_id_4
kecamatan_id_54,Bakongan,kabupaten_id_5
kecamatan_id_55,Bakongan Timur,kabupaten_id_5
kecamatan_id_56,Kluet Selatan,kabupaten_id_5
kecamatan_id_57,Kluet Tengah,kabupaten_id_5
kecamatan_id_58,Kluet Timur,kabupaten_id_5
kecamatan_id_59,Kluet Utara,kabupaten_id_5
kecamatan_id_60,Kota Bahagia,kabupaten_id_5
kecamatan_id_61,Labuhan Haji,kabupaten_id_5
kecamatan_id_62,Labuhan Haji Barat,kabupaten_id_5
kecamatan_id_63,Labuhan Haji Timur,kabupaten_id_5
kecamatan_id_64,Meukek,kabupaten_id_5
kecamatan_id_65,Pasie Raja,kabupaten_id_5
kecamatan_id_66,Sama Dua,kabupaten_id_5
kecamatan_id_67,Sawang,kabupaten_id_5
kecamatan_id_68,Tapak Tuan,kabupaten_id_5
kecamatan_id_69,Trumon,kabupaten_id_5
kecamatan_id_70,Trumon Tengah,kabupaten_id_5
kecamatan_id_71,Trumon Timur,kabupaten_id_5
kecamatan_id_72,Danau Paris,kabupaten_id_6
kecamatan_id_73,Gunung Meriah (Mariah),kabupaten_id_6
kecamatan_id_74,Kota Baharu,kabupaten_id_6
kecamatan_id_75,Kuala Baru,kabupaten_id_6
kecamatan_id_76,Pulau Banyak,kabupaten_id_6
kecamatan_id_77,Pulau Banyak Barat,kabupaten_id_6
kecamatan_id_78,Simpang Kanan,kabupaten_id_6
kecamatan_id_79,Singkil,kabupaten_id_6
kecamatan_id_80,Singkil Utara,kabupaten_id_6
kecamatan_id_81,Singkohor,kabupaten_id_6
kecamatan_id_82,Suro Makmur,kabupaten_id_6
kecamatan_id_83,Banda Mulia,kabupaten_id_7
kecamatan_id_84,Bandar Pusaka,kabupaten_id_7
kecamatan_id_85,Bendahara,kabupaten_id_7
kecamatan_id_86,Karang Baru,kabupaten_id_7
kecamatan_id_87,Kejuruan Muda,kabupaten_id_7
kecamatan_id_88,Kota Kuala Simpang,kabupaten_id_7
kecamatan_id_89,Manyak Payed,kabupaten_id_7
kecamatan_id_90,Rantau,kabupaten_id_7
kecamatan_id_91,Sekerak,kabupaten_id_7
kecamatan_id_92,Seruway,kabupaten_id_7
kecamatan_id_93,Tamiang Hulu,kabupaten_id_7
kecamatan_id_94,Tenggulun,kabupaten_id_7
kecamatan_id_95,Atu Lintang,kabupaten_id_8
kecamatan_id_96,Bebesen,kabupaten_id_8
kecamatan_id_97,Bies,kabupaten_id_8
kecamatan_id_98,Bintang,kabupaten_id_8
kecamatan_id_99,Celala,kabupaten_id_8
kecamatan_id_100,Jagong Jeget,kabupaten_id_8
kecamatan_id_101,Kebayakan,kabupaten_id_8
kecamatan_id_102,Ketol,kabupaten_id_8
kecamatan_id_103,Kute Panang,kabupaten_id_8
kecamatan_id_104,Linge,kabupaten_id_8
kecamatan_id_105,Lut Tawar,kabupaten_id_8
kecamatan_id_106,Pegasing,kabupaten_id_8
kecamatan_id_107,Rusip Antara,kabupaten_id_8
kecamatan_id_108,Silih Nara,kabupaten_id_8
kecamatan_id_109,Babul Makmur,kabupaten_id_9
kecamatan_id_110,Babul Rahmah,kabupaten_id_9
kecamatan_id_111,Babussalam,kabupaten_id_9
kecamatan_id_112,Badar,kabupaten_id_9
kecamatan_id_113,Bambel,kabupaten_id_9
kecamatan_id_114,Bukit Tusam,kabupaten_id_9
kecamatan_id_115,Darul Hasanah,kabupaten_id_9
kecamatan_id_116,Deleng Pokhisen,kabupaten_id_9
kecamatan_id_117,Ketambe,kabupaten_id_9
kecamatan_id_118,Lawe Alas,kabupaten_id_9
kecamatan_id_119,Lawe Bulan,kabupaten_id_9
kecamatan_id_120,Lawe Sigala-Gala,kabupaten_id_9
kecamatan_id_121,Lawe Sumur,kabupaten_id_9
kecamatan_id_122,Leuser,kabupaten_id_9
kecamatan_id_123,Semadam,kabupaten_id_9
kecamatan_id_124,Tanah Alas,kabupaten_id_9
kecamatan_id_125,Banda Alam,kabupaten_id_10
kecamatan_id_126,Birem Bayeun,kabupaten_id_10
kecamatan_id_127,Darul Aman,kabupaten_id_10
kecamatan_id_128,Darul Falah,kabupaten_id_10
kecamatan_id_129,Darul Iksan (Ihsan),kabupaten_id_10
kecamatan_id_130,Idi Rayeuk,kabupaten_id_10
kecamatan_id_131,Idi Timur,kabupaten_id_10
kecamatan_id_132,Idi Tunong,kabupaten_id_10
kecamatan_id_133,Indra Makmur,kabupaten_id_10
kecamatan_id_134,Julok,kabupaten_id_10
kecamatan_id_135,Madat,kabupaten_id_10
kecamatan_id_136,Nurussalam,kabupaten_id_10
kecamatan_id_137,Pante Bidari (Beudari),kabupaten_id_10
kecamatan_id_138,Peudawa,kabupaten_id_10
kecamatan_id_139,Peunaron,kabupaten_id_10
kecamatan_id_140,Peureulak,kabupaten_id_10
kecamatan_id_141,Peureulak Barat,kabupaten_id_10
kecamatan_id_142,Peureulak Timur,kabupaten_id_10
kecamatan_id_143,Rantau Selamat,kabupaten_id_10
kecamatan_id_144,Ranto Peureulak,kabupaten_id_10
kecamatan_id_145,Serba Jadi,kabupaten_id_10
kecamatan_id_146,Simpang Jernih,kabupaten_id_10
kecamatan_id_147,Simpang Ulim,kabupaten_id_10
kecamatan_id_148,Sungai Raya,kabupaten_id_10
kecamatan_id_149,Baktiya,kabupaten_id_11
kecamatan_id_150,Baktiya Barat,kabupaten_id_11
kecamatan_id_151,Banda Baro,kabupaten_id_11
kecamatan_id_152,Cot Girek,kabupaten_id_11
kecamatan_id_153,Dewantara,kabupaten_id_11
kecamatan_id_154,Geuredong Pase,kabupaten_id_11
kecamatan_id_155,Kuta Makmur,kabupaten_id_11
kecamatan_id_156,Langkahan,kabupaten_id_11
kecamatan_id_157,Lapang,kabupaten_id_11
kecamatan_id_158,Lhoksukon,kabupaten_id_11
kecamatan_id_159,Matangkuli,kabupaten_id_11
kecamatan_id_160,Meurah Mulia,kabupaten_id_11
kecamatan_id_161,Muara Batu,kabupaten_id_11
kecamatan_id_162,Nibong,kabupaten_id_11
kecamatan_id_163,Nisam,kabupaten_id_11
kecamatan_id_164,Nisam Antara,kabupaten_id_11
kecamatan_id_165,Paya Bakong,kabupaten_id_11
kecamatan_id_166,Pirak Timur,kabupaten_id_11
kecamatan_id_167,Samudera,kabupaten_id_11
kecamatan_id_168,Sawang,kabupaten_id_11
kecamatan_id_169,Seunuddon (Seunudon),kabupaten_id_11
kecamatan_id_170,Simpang Kramat (Keramat),kabupaten_id_11
kecamatan_id_171,Syamtalira Aron,kabupaten_id_11
kecamatan_id_172,Syamtalira Bayu,kabupaten_id_11
kecamatan_id_173,Tanah Jambo Aye,kabupaten_id_11
kecamatan_id_174,Tanah Luas,kabupaten_id_11
kecamatan_id_175,Tanah Pasir,kabupaten_id_11
kecamatan_id_176,Ampek Nagari (IV Nagari ),kabupaten_id_12
kecamatan_id_177,Banuhampu,kabupaten_id_12
kecamatan_id_178,Baso,kabupaten_id_12
kecamatan_id_179,Candung,kabupaten_id_12
kecamatan_id_180,IV Angkat Candung (Ampek Angkek),kabupaten_id_12
kecamatan_id_181,IV Koto (Ampek Koto),kabupaten_id_12
kecamatan_id_182,Kamang Magek,kabupaten_id_12
kecamatan_id_183,Lubuk Basung,kabupaten_id_12
kecamatan_id_184,Malakak,kabupaten_id_12
kecamatan_id_185,Matur,kabupaten_id_12
kecamatan_id_186,Palembayan,kabupaten_id_12
kecamatan_id_187,Palupuh,kabupaten_id_12
kecamatan_id_188,Sungai Pua (Puar),kabupaten_id_12
kecamatan_id_189,Tanjung Mutiara,kabupaten_id_12
kecamatan_id_190,Tanjung Raya,kabupaten_id_12
kecamatan_id_191,Tilatang Kamang,kabupaten_id_12
kecamatan_id_192,Alor Barat Daya,kabupaten_id_13
kecamatan_id_193,Alor Barat Laut,kabupaten_id_13
kecamatan_id_194,Alor Selatan,kabupaten_id_13
kecamatan_id_195,Alor Tengah Utara,kabupaten_id_13
kecamatan_id_196,Alor Timur,kabupaten_id_13
kecamatan_id_197,Alor Timur Laut,kabupaten_id_13
kecamatan_id_198,Kabola,kabupaten_id_13
kecamatan_id_199,Lembur,kabupaten_id_13
kecamatan_id_200,Mataru,kabupaten_id_13
kecamatan_id_201,Pantar,kabupaten_id_13
kecamatan_id_202,Pantar Barat,kabupaten_id_13
kecamatan_id_203,Pantar Barat Laut,kabupaten_id_13
kecamatan_id_204,Pantar Tengah,kabupaten_id_13
kecamatan_id_205,Pantar Timur,kabupaten_id_13
kecamatan_id_206,Pulau Pura,kabupaten_id_13
kecamatan_id_207,Pureman,kabupaten_id_13
kecamatan_id_208,Teluk Mutiara,kabupaten_id_13
kecamatan_id_209,Baguala,kabupaten_id_14
kecamatan_id_210,Leitimur Selatan,kabupaten_id_14
kecamatan_id_211,Nusaniwe (Nusanive),kabupaten_id_14
kecamatan_id_212,Sirimau,kabupaten_id_14
kecamatan_id_213,Teluk Ambon,kabupaten_id_14
kecamatan_id_214,Aek Kuasan,kabupaten_id_15
kecamatan_id_215,Aek Ledong,kabupaten_id_15
kecamatan_id_216,Aek Songsongan,kabupaten_id_15
kecamatan_id_217,Air Batu,kabupaten_id_15
kecamatan_id_218,Air Joman,kabupaten_id_15
kecamatan_id_219,Bandar Pasir Mandoge,kabupaten_id_15
kecamatan_id_220,Bandar Pulau,kabupaten_id_15
kecamatan_id_221,Buntu Pane,kabupaten_id_15
kecamatan_id_222,Kisaran Barat Kota,kabupaten_id_15
kecamatan_id_223,Kisaran Timur Kota,kabupaten_id_15
kecamatan_id_224,Meranti,kabupaten_id_15
kecamatan_id_225,Pulau Rakyat,kabupaten_id_15
kecamatan_id_226,Pulo Bandring,kabupaten_id_15
kecamatan_id_227,Rahuning,kabupaten_id_15
kecamatan_id_228,Rawang Panca Arga,kabupaten_id_15
kecamatan_id_229,Sei Dadap,kabupaten_id_15
kecamatan_id_230,Sei Kepayang,kabupaten_id_15
kecamatan_id_231,Sei Kepayang Barat,kabupaten_id_15
kecamatan_id_232,Sei Kepayang Timur,kabupaten_id_15
kecamatan_id_233,Setia Janji,kabupaten_id_15
kecamatan_id_234,Silau Laut,kabupaten_id_15
kecamatan_id_235,Simpang Empat,kabupaten_id_15
kecamatan_id_236,Tanjung Balai,kabupaten_id_15
kecamatan_id_237,Teluk Dalam,kabupaten_id_15
kecamatan_id_238,Tinggi Raja,kabupaten_id_15
kecamatan_id_239,Agats,kabupaten_id_16
kecamatan_id_240,Akat,kabupaten_id_16
kecamatan_id_241,Atsy / Atsj,kabupaten_id_16
kecamatan_id_242,Ayip,kabupaten_id_16
kecamatan_id_243,Betcbamu,kabupaten_id_16
kecamatan_id_244,Der Koumur,kabupaten_id_16
kecamatan_id_245,Fayit,kabupaten_id_16
kecamatan_id_246,Jetsy,kabupaten_id_16
kecamatan_id_247,Joerat,kabupaten_id_16
kecamatan_id_248,Kolf Braza,kabupaten_id_16
kecamatan_id_249,Kopay,kabupaten_id_16
kecamatan_id_250,Pantai Kasuari,kabupaten_id_16
kecamatan_id_251,Pulau Tiga,kabupaten_id_16
kecamatan_id_252,Safan,kabupaten_id_16
kecamatan_id_253,Sawa Erma,kabupaten_id_16
kecamatan_id_254,Sirets,kabupaten_id_16
kecamatan_id_255,Suator,kabupaten_id_16
kecamatan_id_256,Suru-suru,kabupaten_id_16
kecamatan_id_257,Unir Sirau,kabupaten_id_16
kecamatan_id_258,Abiansemal,kabupaten_id_17
kecamatan_id_259,Kuta,kabupaten_id_17
kecamatan_id_260,Kuta Selatan,kabupaten_id_17
kecamatan_id_261,Kuta Utara,kabupaten_id_17
kecamatan_id_262,Mengwi,kabupaten_id_17
kecamatan_id_263,Petang,kabupaten_id_17
kecamatan_id_264,Awayan,kabupaten_id_18
kecamatan_id_265,Batu Mandi,kabupaten_id_18
kecamatan_id_266,Halong,kabupaten_id_18
kecamatan_id_267,Juai,kabupaten_id_18
kecamatan_id_268,Lampihong,kabupaten_id_18
kecamatan_id_269,Paringin,kabupaten_id_18
kecamatan_id_270,Paringin Selatan,kabupaten_id_18
kecamatan_id_271,Tebing Tinggi,kabupaten_id_18
kecamatan_id_272,Balikpapan Barat,kabupaten_id_19
kecamatan_id_273,Balikpapan Kota,kabupaten_id_19
kecamatan_id_274,Balikpapan Selatan,kabupaten_id_19
kecamatan_id_275,Balikpapan Tengah,kabupaten_id_19
kecamatan_id_276,Balikpapan Timur,kabupaten_id_19
kecamatan_id_277,Balikpapan Utara,kabupaten_id_19
kecamatan_id_278,Baiturrahman,kabupaten_id_20
kecamatan_id_279,Banda Raya,kabupaten_id_20
kecamatan_id_280,Jaya Baru,kabupaten_id_20
kecamatan_id_281,Kuta Alam,kabupaten_id_20
kecamatan_id_282,Kuta Raja,kabupaten_id_20
kecamatan_id_283,Lueng Bata,kabupaten_id_20
kecamatan_id_284,Meuraxa,kabupaten_id_20
kecamatan_id_285,Syiah Kuala,kabupaten_id_20
kecamatan_id_286,Ulee Kareng,kabupaten_id_20
kecamatan_id_287,Bumi Waras,kabupaten_id_21
kecamatan_id_288,Enggal,kabupaten_id_21
kecamatan_id_289,Kedamaian,kabupaten_id_21
kecamatan_id_290,Kedaton,kabupaten_id_21
kecamatan_id_291,Kemiling,kabupaten_id_21
kecamatan_id_292,Labuhan Ratu,kabupaten_id_21
kecamatan_id_293,Langkapura,kabupaten_id_21
kecamatan_id_294,Panjang,kabupaten_id_21
kecamatan_id_295,Rajabasa,kabupaten_id_21
kecamatan_id_296,Sukabumi,kabupaten_id_21
kecamatan_id_297,Sukarame,kabupaten_id_21
kecamatan_id_298,Tanjung Karang Barat,kabupaten_id_21
kecamatan_id_299,Tanjung Karang Pusat,kabupaten_id_21
kecamatan_id_300,Tanjung Karang Timur,kabupaten_id_21
kecamatan_id_301,Tanjung Senang,kabupaten_id_21
kecamatan_id_302,Telukbetung Barat,kabupaten_id_21
kecamatan_id_303,Telukbetung Selatan,kabupaten_id_21
kecamatan_id_304,Telukbetung Timur,kabupaten_id_21
kecamatan_id_305,Telukbetung Utara,kabupaten_id_21
kecamatan_id_306,Way Halim,kabupaten_id_21
kecamatan_id_307,Arjasari,kabupaten_id_22
kecamatan_id_308,Baleendah,kabupaten_id_22
kecamatan_id_309,Banjaran,kabupaten_id_22
kecamatan_id_310,Bojongsoang,kabupaten_id_22
kecamatan_id_311,Cangkuang,kabupaten_id_22
kecamatan_id_312,Cicalengka,kabupaten_id_22
kecamatan_id_313,Cikancung,kabupaten_id_22
kecamatan_id_314,Cilengkrang,kabupaten_id_22
kecamatan_id_315,Cileunyi,kabupaten_id_22
kecamatan_id_316,Cimaung,kabupaten_id_22
kecamatan_id_317,Cimeunyan,kabupaten_id_22
kecamatan_id_318,Ciparay,kabupaten_id_22
kecamatan_id_319,Ciwidey,kabupaten_id_22
kecamatan_id_320,Dayeuhkolot,kabupaten_id_22
kecamatan_id_321,Ibun,kabupaten_id_22
kecamatan_id_322,Katapang,kabupaten_id_22
kecamatan_id_323,Kertasari,kabupaten_id_22
kecamatan_id_324,Kutawaringin,kabupaten_id_22
kecamatan_id_325,Majalaya,kabupaten_id_22
kecamatan_id_326,Margaasih,kabupaten_id_22
kecamatan_id_327,Margahayu,kabupaten_id_22
kecamatan_id_328,Nagreg,kabupaten_id_22
kecamatan_id_329,Pacet,kabupaten_id_22
kecamatan_id_330,Pameungpeuk,kabupaten_id_22
kecamatan_id_331,Pangalengan,kabupaten_id_22
kecamatan_id_332,Paseh,kabupaten_id_22
kecamatan_id_333,Pasirjambu,kabupaten_id_22
kecamatan_id_334,Ranca Bali,kabupaten_id_22
